业务日期,产品代码,产品名称,产品分组,资产类别,单元编号,单元名称,组合编号,组合名称,投资类型,交易市场,证券代码,证券名称,证券类别,上市板块,本币持仓市值/产品净资产(%),本币持仓市值/单元净资产(%),本币持仓市值/组合总市值(%),合同代码,合同名称,合同类别,停牌标志,长期停牌,结算币种,本币币种,最新价(元),当前数量(股/张/份/手),当日买量(股/张/份/手),当日卖量(股/张/份/手),净买量(股/张/份/手),当日买金额(元),当日卖金额(元),当日净买入金额(元),成本单价(元),当前成本(元),浮动盈亏(元),浮动盈亏率(%),当日盈亏(元),当日盈亏率(%),总体盈亏(元),总体盈亏率(%),累计盈亏(元),累计盈亏率(%),本币持仓市值(元),多空标志,持仓席位,股东代码,自定义分类,到期日,柜台债开办机构号,托管机构(二级),销售机构,所属证券池,当前成本含费(元),当前成本不含费(元),成本单价含费(元),成本单价不含费(元)
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508008,铁建REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="278，488.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="8.44",="2，351，477.27",="0.00",="0.00",="0.00",="0.00",="-24，224.49",="-1.03",="-24，224.49",="-1.03",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508009,安徽交控,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="505，832.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="7.28",="3，683，872.53",="0.00",="0.00",="0.00",="0.00",="-74，678.81",="-2.03",="-74，678.81",="-2.03",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508010,重庆两江,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="745，695.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="2.91",="2，169，910.28",="0.00",="0.00",="0.00",="0.00",="-19，009.86",="-0.88",="-19，009.86",="-0.88",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508011,物美消费,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="690，398.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="4.19",="2，892，539.87",="0.00",="0.00",="0.00",="0.00",="-6，617.37",="-0.23",="-6，617.37",="-0.23",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508012,招商科创,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="19，900.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="3.26",="64，912.20",="0.00",="0.00",="0.00",="0.00",="-16，366.80",="-25.21",="-16，366.80",="-25.21",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508015,明阳REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="279，405.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="7.31",="2，042，083.60",="0.00",="0.00",="0.00",="0.00",="-192，208.57",="-9.41",="-192，208.57",="-9.41",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508016,华电REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="670，511.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="4.54",="3，044，840.10",="0.00",="0.00",="0.00",="0.00",="-76，476.93",="-2.51",="-76，476.93",="-2.51",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508017,金茂商业,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="1，327，105.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="3.80",="5，042，636.01",="0.00",="0.00",="0.00",="0.00",="23，614.32",="0.47",="23，614.32",="0.47",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508018,中交REIT,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="459，439.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="5.41",="2，487，739.07",="0.00",="0.00",="0.00",="0.00",="-77，094.02",="-3.10",="-77，094.02",="-3.10",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
2025/12/29,ZC1E7G,明珠76号,,基金资产,ZC1E7G00,缺省单元,1046000,缺省组合,可交易/FVPL,上交所A,508019,湖北科投,REITs基金,--,="0.000000",="0.000000",="0.000000",	--,	--,--,正常交易,否,人民币,人民币,="0.0000",="88，300.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="2.02",="178，366.00",="0.00",="0.00",="0.00",="0.00",="-55，135.02",="-30.91",="-55，135.02",="-30.91",="0.00",多仓,61082,B887326854,--,	--,	--,	--,	--,	--,="0.00",="0.00",="0.00",="0.00"
