业务日期,成交时间,股东代码,产品代码,产品名称,单元编号,单元名称,组合编号,组合名称,资产类别,证券类别,投资类型,交易市场,证券代码,证券名称,交易席位,委托序号,委托方向,是否备兑,委托价格类型,指令序号,成交编号,成交价格(元/%),全价价格,中债到期估值价偏离率(%),中债行权估值价偏离率(%),成交数量(股/张/份/手),成交金额,到期收益率(%),行权收益率(%),中债公允价(元),中债公允价偏离率(%),中证公允价(元),中证公允价偏离率(%),中证到期估值价偏离率(%),中证行权估值价偏离率(%),执行人,交易币种,指令下达人,过户费,交割费,经手费,财汇局交易征费,交易费,印花税,佣金,证管费,结算费,结算风险金(元),其他费用,总费用(元),交易分类,交易对手,交易对手全称,全价成交金额,结算日期,应计利息(元),应计利息总额(元),指令备注,结算金额,是否含权,投资人行权日期,清算速度,指令下达日期,指令委托日期,交易解除状态,竞买成交方式,竞买日期,价格下限,价格上限,最低成交数量,竞买场次,手续费方式,费率(%),手续费(元),费用结算日期
2026/01/05,混合,B887326854,ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,上交所A,508010,重庆两江,61082,混合,买入,	--,限价,2801372,混合,="2.8457",--,	--,	--,="20，600.00",="58，622.30",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",上海竞价,	--,	--,--,2026/01/06,--,--,,="58，622.30",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,B887326854,ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,上交所A,508011,物美消费,61082,混合,买入,	--,限价,2801373,混合,="3.9929",--,	--,	--,="26，200.00",="104，613.50",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",上海竞价,	--,	--,--,2026/01/06,--,--,,="104，613.50",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,B887326854,ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,上交所A,508017,金茂商业,61082,混合,买入,	--,限价,2801374,混合,="3.8052",--,	--,	--,="50，300.00",="191，399.60",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",上海竞价,	--,	--,--,2026/01/06,--,--,,="191，399.60",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,B887326854,ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,上交所A,508022,津开产园,61082,混合,买入,	--,限价,2801375,混合,="3.4033",--,	--,	--,="31，000.00",="105，502.20",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",上海竞价,	--,	--,--,2026/01/06,--,--,,="105，502.20",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,B887326854,ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,上交所A,508031,城投宽庭,61082,混合,买入,	--,限价,2801376,混合,="3.8964",--,	--,	--,="49，500.00",="192，872.50",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",上海竞价,	--,	--,--,2026/01/06,--,--,,="192，872.50",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,B887326854,ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,上交所A,508048,外高REIT,61082,混合,买入,	--,限价,2801377,混合,="3.6910",--,	--,	--,="134，800.00",="497，550.40",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",上海竞价,	--,	--,--,2026/01/06,--,--,,="497，550.40",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,B887326854,ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,上交所A,508055,地产租住,61082,混合,买入,	--,限价,2801378,混合,="3.5170",--,	--,	--,="99，600.00",="350，289.70",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",上海竞价,	--,	--,--,2026/01/06,--,--,,="350，289.70",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,B887326854,ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,上交所A,508058,厦门安居,61082,混合,买入,	--,限价,2801379,混合,="4.2401",--,	--,	--,="57，079.00",="242，020.41",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",上海竞价,	--,	--,--,2026/01/06,--,--,,="242，020.41",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,B887326854,ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,上交所A,508060,万国REIT,61082,混合,买入,	--,限价,2801380,混合,="4.3839",--,	--,	--,="149，400.00",="654，956.90",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",上海竞价,	--,	--,--,2026/01/06,--,--,,="654，956.90",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
2026/01/05,混合,B887326854,ZC1E7G,明珠76号,ZC1E7G00,缺省单元,1046000,缺省组合,基金资产,REITs基金,可交易/FVPL,上交所A,508068,京保REIT,61082,混合,买入,	--,限价,2801381,混合,="4.0962",--,	--,	--,="25，800.00",="105，681.11",	--,	--,--,	--,--,	--,	--,	--,齐涵,人民币,齐人哲,="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",上海竞价,	--,	--,--,2026/01/06,--,--,,="105，681.11",	--,	--,T	+1,2026/01/05,2026/01/05,	--,	--,	--,--,--,--,	--,N/A,N/A,N/A,N/A
