date,reits_index,tb10y,hs300,csi_dividend,nav,reits_index_norm,nav_norm
2022-09-02,1188.9481,2.6325,4023.6131,5040.1258,,1.17736308273847,
2022-09-05,1186.3642,2.625,4015.4264,5115.8301,,1.1748043600579023,
2022-09-06,1188.3833,2.62,4052.2802,5201.739,,1.1768037861054792,
2022-09-07,1190.8327,2.627,4054.983,5187.116,,1.1792293193435235,
2022-09-08,1195.9885,2.63,4037.6839,5168.4662,,1.18433488163172,
2022-09-09,1200.9244,2.643,4093.7874,5222.8554,,1.1892226866083118,
2022-09-13,1197.6024,2.649,4111.1145,5187.6275,,1.1859330559163939,
2022-09-14,1194.0819,2.664,4065.359,5144.5946,,1.1824468593929451,
2022-09-15,1192.3876,2.6615,4027.1186,5134.2684,,1.180769068519581,
2022-09-16,1189.6255,2.67,3932.6826,4975.1508,,1.178033882205871,
2022-09-19,1188.1417,2.67,3928.0001,4975.774,,1.1765645402369762,
2022-09-20,1186.7403,2.6575,3932.8361,4980.3913,,1.1751767953689287,
2022-09-21,1189.2075,2.638,3903.7348,5020.6196,,1.1776199551651658,
2022-09-22,1192.8064,2.646,3869.344,5015.0548,,1.1811837877651485,
2022-09-23,1193.7113,2.6725,3856.0212,4962.2136,,1.182079870490349,
2022-09-26,1190.8892,2.6985,3836.6773,4872.4905,,1.1792852688119444,
2022-09-27,1189.7242,2.6875,3892.295,4930.363,,1.1781316204807932,
2022-09-28,1199.9379,2.715,3828.7098,4869.6435,,1.1882457989871265,
2022-09-29,1191.0332,2.725,3827.1434,4846.587,,1.179427865687211,
2022-09-30,1187.1779,2.755,3804.8853,4869.9909,,1.1756101314287672,
2022-10-10,1174.9448,2.74,3720.9365,4856.0239,,1.1634962297980334,
2022-10-11,1170.8255,2.74,3727.6867,4856.6655,,1.1594170679349338,
2022-10-12,1172.142,2.7275,3784.3064,4924.6696,,1.1607207400619386,
2022-10-13,1175.7813,2.7225,3752.6729,4878.2975,,1.1643245790074823,
2022-10-14,1175.8582,2.6975,3842.4698,4934.5125,,1.1644007296998988,
2022-10-17,1173.4477,2.7,3846.4119,4935.9049,,1.1620137174232983,
2022-10-18,1175.818,2.7,3838.2667,4941.3127,,1.1643609214055537,
2022-10-19,1175.0908,2.7065,3776.5335,4901.7465,,1.1636408071854565,
2022-10-20,1173.2451,2.7175,3754.9269,4855.4973,,1.1618130915418468,
2022-10-21,1170.2262,2.7325,3742.8929,4878.474,,1.158823607467244,
2022-10-24,1158.8871,2.7175,3633.3733,4772.9081,,1.1475949947704576,
2022-10-25,1151.8345,2.73,3627.4542,4753.564,,1.1406111147530529,
2022-10-26,1150.3922,2.705,3656.9027,4741.7555,,1.1391828684114056,
2022-10-27,1138.1018,2.7,3631.1448,4754.4951,,1.1270122251073882,
2022-10-28,1139.864,2.665,3541.3295,4628.8304,,1.1287572543684652,
2022-10-31,1128.7616,2.645,3508.7034,4561.9989,,1.1177630352853989,
2022-11-01,1127.914,2.665,3634.1732,4622.1442,,1.1169236942334815,
2022-11-02,1139.3617,2.685,3677.8051,4679.5331,,1.1282598487403646,
2022-11-03,1143.7271,2.6775,3647.8966,4654.3345,,1.1325827126243193,
2022-11-04,1150.2791,2.7075,3767.1746,4750.5437,,1.1390708704489563,
2022-11-07,1143.2432,2.7025,3775.2971,4784.9273,,1.1321035277080582,
2022-11-08,1134.2096,2.68,3749.3251,4790.0193,,1.1231579503996574,
2022-11-09,1129.6577,2.6925,3714.2704,4795.2336,,1.1186504037571108,
2022-11-10,1124.463,2.6875,3685.6885,4793.4693,,1.1135063205074707,
2022-11-11,1122.8745,2.7375,3788.4387,4900.0226,,1.1119332987271842,
2022-11-14,1114.9546,2.839,3794.0171,4914.2351,,1.104090569613121,
2022-11-15,1109.2608,2.815,3865.9726,4961.8809,,1.0984522495548303,
